TestSample	MouseRatio_Chip	MouseRatio_RNAseq	MouseRatio_WES	TestModel	mouse_strain	mouse_strain_by_chip	SomaticMutations	StromalScore	ImmuneScore	ESTIMATEScore	StromalScore_human	ImmuneScore_human	ESTIMATEScore_human
CR2642P5	6.6	8.61	1.05	CR2642	NOD.SCID	NOD/SCID;	570	-739.9223317	319.1066107	-420.8157209	-2941.093606	-1129.764357	-4070.857963
CR9259P2	5.9	9.07	1.07	CR9259	NOD.SCID	NOD/SCID;	1588	-582.1174004	-252.4773911	-834.5947915	-2891.390062	-1638.258008	-4529.64807
ME9396P2	6.2	2.48	1.07	ME9396	NOD.SCID	NOD/SCID;	830	-1472.855743	-980.6412525	-2453.496996	-2499.09329	-1811.288801	-4310.382091
LY2390P7	4.6	3.37	1.07	LY2390	NA	NOD/SCID;	601	-591.6726548	2089.011727	1497.339072	-1503.448952	1690.404409	186.9554571
CR15610P0	6	7.52	1.14	CR15610	NOD.SCID	NOD/SCID;	712	-887.1900182	-246.5350861	-1133.725104	-2880.707479	-1352.632971	-4233.34045
CR2660P5	8.3	4.35	1.18	CR2660	NOD.SCID	NOD/SCID;	528	-1575.247567	-719.7286826	-2294.97625	-2960.02172	-1339.248974	-4299.270694
SA4106P2	6.9	4.6	1.18	SA4106	NA	NOD/SCID;	499	-617.1594761	-1132.449385	-1749.608861	-1160.605653	-1972.563946	-3133.169599
ES9279P3	6.4	20.92	1.2	ES9279	NOD.SCID	NOD/SCID;	970	-249.267553	-46.89845187	-296.1660048	-2866.577645	-1299.262699	-4165.840344
SK12227P2	7.1	3.63	1.25	SK12227	NOD.SCID	NOD/SCID;	381	-1593.943922	-1292.184375	-2886.128297	-2814.052985	-2090.887788	-4904.940773
ME12033P1	7.2	2.11	1.27	ME12033	NOD.SCID	NOD/SCID;	606	-1253.612665	-514.7899221	-1768.402587	-1955.210643	-1205.776244	-3160.986888
BN9224P4	6.9	3.87	1.31	BN9224	NOD.SCID	NOD/SCID;	444	-1321.50476	-820.314626	-2141.819386	-2163.551159	-1988.729505	-4152.280664
CR3813P2	8.3	14.19	1.33	CR3813	NOD.SCID	NOD/SCID;	454	-401.8476517	12.53705293	-389.3105988	-2818.777411	-1233.669229	-4052.446639
HN2621P4	11.1	3.72	1.34	HN2621	NOD.SCID	NOD/SCID;	411	-1449.363757	-98.46460044	-1547.828357	-2507.213194	-933.6714262	-3440.88462
BN4003P3	6.7	13.98	1.38	BN4003	NA	NOD/SCID;	508	-447.1596116	-807.0576339	-1254.217246	-2346.135622	-2294.982048	-4641.117671
XX2428P9	7.6	16.06	1.39	XX2428	NA	NOD/SCID;	649	-518.1607006	-520.6948553	-1038.855556	-2455.052498	-2059.221868	-4514.274366
OV9408P3	7.6	8.84	1.5	OV9408	NOD.SCID	NOD/SCID;	392	-919.7285875	-245.3489425	-1165.07753	-2900.806486	-1069.841683	-3970.648169
OV9423P3	7.6	13.68	1.51	OV9423	NOD.SCID	NOD/SCID;	472	-171.0420424	309.8852144	138.843172	-2243.472157	-1213.885542	-3457.3577
BN4030P2	10.4	3.29	1.64	BN4030	NOD.SCID	NOD/SCID;	574	-1835.134157	-1036.354032	-2871.488189	-2589.60634	-1994.467297	-4584.073637
LY3463P3	9	23.34	1.64	LY3463	NOD.SCID	NOD/SCID;	568	-729.5753335	1939.512219	1209.936885	-1950.341449	1451.272745	-499.0687039
ME6928P8	7.3	2.71	1.64	ME6928	NOD.SCID	NOD/SCID;	623	-1711.663492	-205.8141785	-1917.47767	-2589.808889	-1303.831851	-3893.640741
CR9238P4	10.2	17.82	1.81	CR9238	NOD.SCID	NOD/SCID;	390	-222.0124337	183.1215324	-38.89090128	-2808.947564	-1176.718362	-3985.665925
OV9428P3	10.4	2.78	1.83	OV9428	NOD.SCID	NOD/SCID;	1069	-1541.774661	-1070.567529	-2612.34219	-2571.401518	-1717.532445	-4288.933963
LI1099P4	9.4	1.88	1.84	LI1099	NOD.SCID	NOD/SCID;	647	-1599.482787	-1210.956393	-2810.43918	-2027.138774	-1738.697125	-3765.835899
LY12962P1	9.9	7.04	1.84	LY12962	NOD.SCID	NOD/SCID;	1248	-712.5390402	1868.251552	1155.712512	-2155.418639	1278.485462	-876.933177
CR9260P3	8	11.75	1.85	CR9260	NOD.SCID	NOD/SCID;	483	-359.7622144	314.2460555	-45.51615897	-2762.694723	-895.9357836	-3658.630507
BL9213P4	8.7	4.32	1.89	BL9213	NOD.SCID	NOD/SCID;	621	-1602.497342	-1177.783139	-2780.280481	-2646.309385	-1957.02139	-4603.330775
CR14927P3	10.5	5.18	1.9	CR14927	NOD.SCID	NOD/SCID;	377	-1361.59809	-630.1471242	-1991.745214	-2878.583891	-1490.752472	-4369.336362
ME9384P3	10.2	7.05	1.93	ME9384	NOD.SCID	NOD/SCID;	639	-957.8157803	-330.0475813	-1287.863362	-2126.055281	-1251.231691	-3377.286973
OV15727P1	9.3	2.67	1.93	OV15727	NOD.SCID	NOD/SCID;	333	-1094.878477	-718.2140653	-1813.092543	-1752.417239	-1649.463709	-3401.880948
CR2635P4	10.9	6.76	1.96	CR2635	NOD.SCID	NOD/SCID;	585	-1184.222019	-340.3703451	-1524.592364	-2857.93948	-1447.174096	-4305.113576
CR9237P4	15.1	2.64	1.96	CR9237	NOD.SCID	NOD/SCID;	908	-1462.541282	-1.277427879	-1463.81871	-2822.323415	-907.7999923	-3730.123407
CR9256P4	12.6	5.74	2	CR9256	NOD.SCID	NOD/SCID;	1092	-1092.475375	-371.5261056	-1464.00148	-2984.478316	-1258.553406	-4243.031722
LI3243P6	15.3	3.55	2.17	LI3243	NOD.SCID	NOD/SCID;	553	-1391.51662	-919.4051252	-2310.921745	-2148.849409	-1710.226902	-3859.076311
BL9212P2	19	10.86	2.18	BL9212	NOD.SCID	NOD/SCID;	1292	-457.303125	-127.9385783	-585.2417033	-2423.641755	-1453.065114	-3876.706868
SA4196P0	15.5	2.95	2.22	SA4196	NOD.SCID	NOD/SCID;	489	-456.9377933	-562.6152955	-1019.553089	-1239.139148	-1289.804021	-2528.943169
ES3889P3	17.1	8.66	2.24	ES3889	NOD.SCID	NOD/SCID;	515	-1089.135529	-934.9391059	-2024.074634	-2570.950439	-1829.459655	-4400.410094
ES6463P23	11	6.5	2.25	ES6463	NOD.SCID	NOD/SCID;	599	-1211.896432	-144.2092868	-1356.105719	-2637.822609	-1135.174262	-3772.996871
CR2568P7	10.1	5.71	2.26	CR2568	NOD.SCID	NOD/SCID;	1202	-1277.689435	-138.7110817	-1416.400517	-2875.710664	-979.6598588	-3855.370523
CR2558P11	12.4	3.91	2.29	CR2558	NOD.SCID	NOD/SCID;	448	-1594.490388	-763.4547904	-2357.945179	-2906.253452	-1498.561367	-4404.814819
ME9382P3	11.1	4.37	2.32	ME9382	NOD.SCID	NOD/SCID;	1018	-995.037123	-663.938045	-1658.975168	-1960.361834	-1582.302566	-3542.664399
CR9250P4	13.2	9.68	2.33	CR9250	NOD.SCID	NOD/SCID;	402	-754.0144165	218.0627861	-535.9516304	-3023.357806	-967.5887817	-3990.946588
SA4065P0	11.8	1.93	2.46	SA4065	NA	NOD/SCID;	519	-958.1036168	-953.182199	-1911.285816	-1230.871833	-1753.918328	-2984.790161
CR3811P2	13.4	4.61	2.47	CR3811	NOD.SCID	NOD/SCID;	524	-1469.840314	-751.6924287	-2221.532743	-2921.193512	-1177.787103	-4098.980615
GA13718P2	13.1	12.13	2.49	GA13718	NOD.SCID	NOD/SCID;	411	-435.8608217	227.9119342	-207.9488875	-2688.512217	-1036.239771	-3724.751988
HN3711P2	14.4	5.37	2.51	HN3711	NOD.SCID	NOD/SCID;	616	-1440.6476	-729.9453874	-2170.592987	-2903.547865	-1578.356991	-4481.904856
CR2633P9	14.2	16.51	2.53	CR2633	NOD.SCID	NOD/SCID;	481	-352.3456975	149.8981566	-202.4475408	-2850.580077	-1259.037895	-4109.617972
GA6817P9	13.9	7.54	2.53	GA6817	NOD.SCID	NOD/SCID;	620	-1310.776227	-96.36426527	-1407.140492	-2855.980653	-1530.920449	-4386.901102
LI2644P6	14.8	5.52	2.54	LI2644	NA	NOD/SCID;	576	-1240.464308	-549.50315	-1789.967458	-2984.872997	-1467.802452	-4452.675448
KI2479P5	14.6	2.05	2.84	KI2479	NOD.SCID	NOD/SCID;	489	-1360.109323	-548.2945497	-1908.403872	-1904.769648	-1346.671445	-3251.441093
CR2646P5	14.9	5.8	2.88	CR2646	NOD.SCID	NOD/SCID;	600	-1335.358934	-729.1811629	-2064.540097	-2897.669337	-1483.083478	-4380.752815
ME3608P2	13.3	4.46	2.88	ME3608	NOD.SCID	NOD/SCID;	1074	-743.2041175	-204.8370255	-948.041143	-1560.631282	-1011.252597	-2571.883879
CC6644P13	13.6	4.02	2.89	CC6644	NOD.SCID	NOD/SCID;	640	-1901.92372	-1304.742708	-3206.666429	-2793.176502	-1690.999551	-4484.176053
GA3833P3	18.2	10.88	2.96	GA3833	NOD.SCID	NOD/SCID;	560	-664.3836038	-536.9754966	-1201.3591	-2707.003546	-1753.82203	-4460.825576
CR2812P10	13	10.23	3.03	CR2812	NOD.SCID	NOD/SCID;	700	-852.576306	42.07593179	-810.5003742	-2896.243106	-961.3340195	-3857.577126
CR9242P3	18.3	6.92	3.05	CR9242	NOD.SCID	NOD/SCID;	1563	-1034.127705	-223.9536824	-1258.081388	-2890.539814	-1271.476259	-4162.016073
CR3825P1	17.8	14.89	3.09	CR3825	Balb/c nu	NOD/SCID;	531	-282.642693	-41.82915356	-324.4718465	-2705.597398	-1328.763159	-4034.360557
LU9331P3	17.4	6.35	3.22	LU9331	NOD.SCID	NOD/SCID;	630	-965.0052621	-158.9063602	-1123.911622	-2787.268133	-1427.65587	-4214.924003
CR15701P0	17.4	26.05	3.29	CR15701	NOD.SCID	NOD/SCID;	425	382.0457634	827.8400461	1209.885809	-2500.672224	-1149.346055	-3650.018279
LU11606P1	15.9	4.9	3.35	LU11606	NOD.SCID	NOD/SCID;	373	-1356.55148	230.8912016	-1125.660278	-2899.706662	-745.2860476	-3644.992709
BR1374P3	18.1	9.04	3.36	BR1374	NOD.SCID	NOD/SCID;	498	-720.1780378	-723.4333734	-1443.611411	-2358.327266	-1865.923488	-4224.250754
CR2654P8	18.2	9.09	3.53	CR2654	NOD.SCID	NOD/SCID;	576	-1021.100943	-115.1591135	-1136.260056	-2928.510039	-1182.395153	-4110.905192
SA4000P1	18.3	7.47	3.54	SA4000	NA	NOD/SCID;	556	-585.3134349	-800.7523357	-1386.065771	-1197.086897	-2069.504087	-3266.590984
HN2581P6	17.9	3.8	3.65	HN2581	NOD.SCID	NOD/SCID;	442	-1410.808402	-458.1148449	-1868.923247	-2735.429523	-1261.875154	-3997.304677
CR3808P1	15.4	16.9	3.77	CR3808	Balb/c nu	NOD/SCID;	580	297.6952009	2895.986927	3193.682128	-1624.121064	2262.118305	637.9972408
ES3875P4	20.6	4.27	3.79	ES3875	NOD.SCID	NOD/SCID;	898	-1034.827678	-341.0570526	-1375.884731	-2407.079528	-1226.549129	-3633.628657
LI6462P10	20.1	27.87	3.89	LI6462	NA	NOD/SCID;	479	247.2501722	852.0403089	1099.290481	-2690.982957	-926.9928485	-3617.975806
ES3863P2	26.9	4.1	3.94	ES3863	NOD.SCID	NOD/SCID;	569	-1292.725059	-172.0042022	-1464.729261	-2420.815516	-1135.672139	-3556.487656
ES3874P2	17.9	17.92	4.03	ES3874	NOD.SCID	NOD/SCID;	565	425.0534231	2901.70216	3326.755583	-1414.013435	2319.246655	905.2332202
ME9389P2	19.6	6.06	4.2	ME9389	NOD.SCID	NOD/SCID;	632	-710.8335564	77.28185288	-633.5517035	-2145.908762	-1130.627153	-3276.535915
LY6938P7	20.5	5.61	4.23	LY6938	NOG	NOD/SCID;	530	-1046.919283	1822.448188	775.5289046	-2244.620688	1310.699275	-933.9214134
GA6895P8	23.2	3.77	4.48	GA6895	NOD.SCID	NOD/SCID;	643	-1486.610699	-523.5768504	-2010.18755	-2793.506937	-1401.510419	-4195.017355
CR2829P8	20.5	9.78	4.5	CR2829	NOD.SCID	NOD/SCID;	553	-1157.385343	-518.1921218	-1675.577465	-3092.649506	-1628.617025	-4721.266531
GA2253P2	21	6.25	4.63	GA2253	NOD.SCID	NOD/SCID;	630	-1241.444731	-474.1433508	-1715.588082	-2951.393911	-1750.771037	-4702.164948
LU2639P4	23	2.03	4.64	LU2639	NOD.SCID	NOD/SCID;	779	-2130.032672	-1007.744241	-3137.776913	-2955.595556	-1454.090333	-4409.685888
HN2591P3	18.6	13.32	4.72	HN2591	NOD.SCID	NOD/SCID;	449	172.052551	2934.869188	3106.921739	-1402.753483	2347.98733	945.2338477
CR9263P3	23.5	11.16	4.73	CR9263	NOD.SCID	NOD/SCID;	1116	-634.0991119	-56.88396177	-690.9830736	-2875.345015	-1562.507573	-4437.852588
HN2590P4	40.3	8.01	4.95	HN2590	NOD.SCID	NOD/SCID;	637	-802.3426109	-285.3015835	-1087.644194	-2343.459244	-1168.026196	-3511.485439
CR2046P6	28.5	11.37	4.96	CR2046	NOD.SCID	NOD/SCID;	488	-772.1811245	159.599842	-612.5812824	-2871.264634	-949.2827751	-3820.547409
XX2628P6	24	10.75	4.96	XX2628	NA	NOD/SCID;	531	-1055.653972	-858.0219768	-1913.675949	-2746.56662	-1826.937745	-4573.504366
BL9200P3	24.8	9.89	4.99	BL9200	NOD.SCID	NOD/SCID;	1037	-961.8143122	-252.216979	-1214.031291	-2932.762681	-1162.340792	-4095.103474
PA9446P3	26.4	10.06	5	PA9446	NOD.SCID	NOD/SCID;	375	-680.5787199	564.5149107	-116.0638092	-2784.996578	-659.7778952	-3444.774473
ES3859P4	26.2	8.38	5.03	ES3859	NOD.SCID	NOD/SCID;	481	-1061.09065	-600.4067101	-1661.49736	-2450.182376	-1469.884051	-3920.066427
ME9392P3	24	2.4	5.13	ME9392	NOD.SCID	NOD/SCID;	1151	-1523.05861	-829.5093664	-2352.567976	-2365.037137	-1558.387469	-3923.424606
LI6649P10	24.6	7.83	5.16	LI6649	NOD.SCID	NOD/SCID;	668	-957.3210335	-455.811128	-1413.132162	-2429.550962	-1488.385716	-3917.936678
CR15138P0	23.7	10.63	5.24	CR15138	NOD.SCID	NOD/SCID;	865	-864.3378555	-299.8464312	-1164.184287	-2320.652823	-1350.905802	-3671.558625
HN2593P4	44.6	9.72	5.26	HN2593	NOD.SCID	NOD/SCID;	411	-490.0754004	-86.98996548	-577.0653659	-2374.992795	-1284.436188	-3659.428982
SA3313P3	27.1	7.25	5.32	SA3313	NOD.SCID	NOD/SCID;	473	-496.6617899	-470.8408325	-967.5026223	-1285.341124	-1543.710394	-2829.051518
HN9298P5	25.7	6.95	5.33	HN9298	NOD.SCID	NOD/SCID;	366	-889.5536096	-1.027358822	-890.5809684	-2765.828596	-1021.36359	-3787.192186
KI9316P3	23.4	4	5.37	KI9316	Balb/c nu	NOD/SCID;	401	-1035.762376	-240.4778874	-1276.240263	-2208.253396	-1231.933836	-3440.187232
XX2638P8	27.8	8.13	5.41	XX2638	NA	NOD/SCID;	495	-1042.660847	-519.9786814	-1562.639528	-2650.225069	-1526.344485	-4176.569554
CR9253P3	25.1	11.07	5.48	CR9253	NOD.SCID	NOD/SCID;	401	-591.2431676	114.9935137	-476.2496539	-2778.663815	-1188.140854	-3966.804669
HN2609P3	23.6	5.85	5.93	HN2609	NOD.SCID	NOD/SCID;	544	-1132.290543	-576.2930811	-1708.583624	-2335.157461	-1224.91363	-3560.071091
SA4190P0	29.9	6.8	6.35	SA4190	NA	NOD/SCID;	540	-574.2484802	-740.9885168	-1315.236997	-1623.624846	-1809.074947	-3432.699792
XX2636P1	31.1	14.17	6.47	XX2636	NA	NOD/SCID;	471	-834.434011	-6.141316056	-840.575327	-3103.988901	-1419.268944	-4523.257845
PA9450P3	35.8	17.79	6.53	PA9450	NOD.SCID	NOD/SCID;	412	-252.6226768	393.0877211	140.4650443	-2684.526056	-1195.398103	-3879.924159
LY2322P1	28.6	24.35	6.58	LY2322	NA	NOD/SCID;	542	436.2894466	2639.134191	3075.423638	-1534.531706	2179.684233	645.1525271
LU9342P4	31.5	7.55	6.6	LU9342	NOD.SCID	NOD/SCID;	1071	-964.0096192	-325.6295908	-1289.63921	-2911.895418	-1615.559662	-4527.45508
HN9287P4	32	9.34	6.66	HN9287	NOD.SCID	NOD/SCID;	424	-471.4120312	529.858211	58.4461798	-2489.508697	-704.7054076	-3194.214104
LU6481P12	31	21.99	6.94	LU6481	NOD.SCID	NOD/SCID;	438	470.9090836	2585.751716	3056.6608	-1456.532976	1936.807699	480.2747234
GA9275P3	32	19.99	7	GA9275	NOD.SCID	NOD/SCID;	1095	-177.4043966	65.13924111	-112.2651555	-2750.322001	-1564.364665	-4314.686666
ES3905P4	30.1	12.6	7.21	ES3905	NOD.SCID	NOD/SCID;	552	-767.9401635	-217.4287352	-985.3688987	-2644.226476	-1248.421187	-3892.647663
PA9452P3	34.4	28.88	7.29	PA9452	NOD.SCID	NOD/SCID;	380	215.8781484	704.1437634	920.0219118	-2582.70057	-958.7291136	-3541.429684
CR2665P5	30.7	14.94	7.36	CR2665	NOD.SCID	NOD/SCID;	562	-643.8994311	167.1419446	-476.7574865	-2936.767837	-1230.694647	-4167.462484
KI9307P5	35.9	15.06	7.37	KI9307	NOD.SCID	NOD/SCID;	406	-23.35610613	153.5904256	130.2343194	-2255.301868	-1195.831951	-3451.133819
MC3416P3	33.6	29.05	7.38	MC3416	NOD.SCID	NOD/SCID;	580	131.1716614	158.7139263	289.8855878	-2660.963226	-1350.485299	-4011.448525
PA9445P4	32.4	24.15	7.41	PA9445	NOD.SCID	NOD/SCID;	490	19.70593974	674.3508516	694.0567913	-2818.673417	-1075.425462	-3894.098879
HN9299P3	34.1	17.81	7.59	HN9299	NOD.SCID	NOD/SCID;	404	-162.1552368	-261.1783697	-423.3336065	-2483.089522	-1615.53498	-4098.624502
HN2606P4	34.8	20.79	8.23	HN2606	NOD.SCID	NOD/SCID;	542	-21.15724935	149.9089709	128.7517215	-2402.570711	-1216.907869	-3619.47858
BL9210P2	38.5	19.11	8.28	BL9210	NOD.SCID	NOD/SCID;	401	-75.11312955	426.1441737	351.0310441	-2464.340041	-1039.157008	-3503.497049
LI6700P6	35.2	10.17	8.3	LI6700	Balb/c nu	NOD/SCID;	891	-717.720926	3.489790211	-714.2311357	-2501.553931	-1530.536616	-4032.090547
LI6710P7	40.6	14.52	8.41	LI6710	NOD.SCID	NOD/SCID;	488	-445.7342909	238.7459376	-206.9883533	-2231.012095	-1082.754474	-3313.766568
LY2310P4	34.7	11.22	8.74	LY2310	NOD.SCID	NOD/SCID;	540	-162.234156	2719.965002	2557.730846	-1749.579227	2092.951295	343.3720673
UT2449P9	33.3	8.17	8.82	UT2449	NOD.SCID	NOD/SCID;	912	-1449.123243	-220.5399184	-1669.663162	-2965.378499	-1337.629175	-4303.007675
CR2073P8	37.5	10.28	9.42	CR2073	NOD.SCID	NOD/SCID;	435	-680.1665075	55.40788072	-624.7586268	-2776.911956	-1126.692653	-3903.60461
PA9447P3	40.1	25.99	9.59	PA9447	NOD.SCID	NOD/SCID;	456	102.7113265	650.0676211	752.7789477	-2679.780195	-1028.188715	-3707.96891
GA2842P9	39.7	9.2	9.81	GA2842	NOD.SCID	NOD/SCID;	477	-899.3164428	-324.8431437	-1224.159587	-2648.616609	-1082.633426	-3731.250035
PA9442P3	41.5	23.7	9.82	PA9442	NOD.SCID	NOD/SCID;	385	12.10902009	910.4886061	922.5976261	-2648.918353	-690.8112216	-3339.729575
HN3502P2	41.6	10.63	9.92	HN3502	NOD.SCID	NOD/SCID;	628	-91.87446208	437.9676295	346.0931674	-1926.219932	-1068.057877	-2994.277809
LU9356P6	39.9	6.56	10.54	LU9356	NOD.SCID	NOD/SCID;	473	-815.2913503	30.41307078	-784.8782796	-2583.451739	-1224.220423	-3807.672162
PA6468P12	41.9	24.46	11.69	PA6468	NOD.SCID	NOD/SCID;	321	47.5962887	898.5536789	946.1499676	-2650.306581	-876.5000287	-3526.80661
SA4083P4	47.1	40.38	11.85	SA4083	Balb/c nu	NOD/SCID;	452	1087.170383	92.68418666	1179.85457	-326.0842156	-1792.264524	-2118.34874
LU2539P9	42.5	19.1	11.95	LU2539	NOD.SCID	NOD/SCID;	565	238.4075191	2671.690179	2910.097698	-1721.518333	1909.760483	188.2421504
LU1452P3	45.9	22.84	12.35	LU1452	NOD.SCID	NOD/SCID;	567	247.8065657	500.805802	748.6123676	-2454.013903	-1038.059727	-3492.073629
KI9309P8	45.5	16.62	12.64	KI9309	NOD.SCID	NOD/SCID;	436	158.050358	263.9337352	421.9840932	-1714.494544	-973.9985705	-2688.493115
HN2574P12	50.4	9.36	12.7	HN2574	NOD.SCID	NOD/SCID;	411	-257.0310057	95.83506687	-161.1959388	-1970.268858	-1005.240068	-2975.508926
HN2583P5	46.8	11.97	13.31	HN2583	NOD.SCID	NOD/SCID;	369	-553.2428549	-365.6528943	-918.8957492	-1816.455878	-1195.419451	-3011.875329
HN2603P7	36.4	6.94	13.64	HN2603	NOD.SCID	NOD/SCID;	384	-1036.01347	-0.759657318	-1036.773127	-2607.163923	-1060.02346	-3667.187384
OV9422P5	49.7	9.12	14.22	OV9422	NOD.SCID	NOD/SCID;	382	-930.5305281	-145.4095411	-1075.940069	-2758.345571	-1255.61995	-4013.965522
PA9444P4	50.8	21.92	14.35	PA9444	NOD.SCID	NOD/SCID;	821	-92.19356464	942.7428902	850.5493256	-2655.350886	-445.9179164	-3101.268802
OV9413P4	50.1	14.99	14.75	OV9413	NOD.SCID	NOD/SCID;	454	-126.6078487	531.632953	405.0251043	-2410.303808	-1161.093745	-3571.397553
LU9327P3	54.6	16.49	15.6	LU9327	NOD.SCID	NOD/SCID;	503	-177.9304747	598.4702276	420.5397529	-2563.524803	-881.6511328	-3445.175936
PA2566P9	51	13.75	15.84	PA2566	NOD.SCID	NOD/SCID;	417	-533.4815576	380.9151379	-152.5664197	-2746.011638	-858.2221804	-3604.233818
HN2577P7	37.4	10.54	15.91	HN2577	NOD.SCID	NOD/SCID;	473	-630.7752295	240.4275617	-390.3476678	-2178.838581	-1097.891226	-3276.729807
CC6614P4	53.7	26.18	15.98	CC6614	NOD.SCID	NOD/SCID;	462	293.5713294	821.7944632	1115.365793	-2435.257253	-1242.861206	-3678.118459
LU9333P4	54.8	10.15	16.3	LU9333	NOD.SCID	NOD/SCID;	380	-834.7914765	-336.3716323	-1171.163109	-2564.333699	-1367.117364	-3931.451062
BR9236P4	55.1	7.4	16.58	BR9236	NOD.SCID	NOD/SCID;	484	-882.2414613	595.9127122	-286.3287491	-2378.443461	-1001.728631	-3380.172091
LU9359P3	56.2	21.78	17	LU9359	NOD.SCID	NOD/SCID;	470	-107.9410731	159.2737425	51.33266934	-2724.105393	-1207.80553	-3931.910923
LU6477P10	56.9	11.62	17.76	LU6477	NOD.SCID	NOD/SCID;	655	-801.8690315	85.59388032	-716.2751512	-2877.215684	-1095.290381	-3972.506064
CR3803P1	54	58.56	20.97	CR3803	NOD.SCID	NOD/SCID;	561	1093.246084	2722.123043	3815.369127	-1529.338918	1916.511231	387.1723128
HN2579P10	59.1	15.28	22.78	HN2579	NOD.SCID	NOD/SCID;	413	-191.8970537	301.9429564	110.0459027	-2582.995197	-1314.312944	-3897.308141
PA9440P3	69.8	61.09	29.6	PA9440	NOD.SCID	NOD/SCID;	351	773.959497	1470.88713	2244.846627	-2229.47819	-713.131036	-2942.609226
PA2637P8	69.2	22.74	29.85	PA2637	NOD.SCID	NOD/SCID;	579	-14.21120741	1165.782388	1151.57118	-2431.897324	-866.3704572	-3298.267781
LI6691P6	72.6	21.88	35.35	LI6691	NOD.SCID	NOD/SCID;	539	200.5570541	724.2660413	924.8230953	-2462.352691	-1328.369161	-3790.721852
PA9454P3	73.1	70.75	37.33	PA9454	NOD.SCID	NOD/SCID;	416	718.8630282	1881.640014	2600.503042	-2312.675069	-769.1164637	-3081.791533
